"inc0"	"inc2500"	"inc5000"	"inc7500"	"inc10000"	"inc12500"	"inc15000"	"inc17500"	"inc20000"	"inc22500"	"inc25000"	"inc27500"	"inc30000"	"inc32500"	"inc35000"	"inc37500"	"inc40000"	"inc42500"	"inc45000"	"inc47500"	"inc50000"	"inc52500"	"inc55000"	"inc57500"	"inc60000"	"inc62500"	"inc65000"	"inc67500"	"inc70000"	"inc72500"	"inc75000"	"inc77500"	"inc80000"	"inc82500"	"inc85000"	"inc87500"	"inc90000"	"inc92500"	"inc95000"	"inc97500"	"inc100000"	"inc102500"	"inc105000"	"inc107500"	"inc110000"	"inc112500"	"inc115000"	"inc117500"	"inc120000"	"inc122500"	"inc125000"	"inc127500"	"inc130000"	"inc132500"	"inc135000"	"inc137500"	"inc140000"	"inc142500"	"inc145000"	"inc147500"	"inc150000"	"inc152500"	"inc155000"	"inc157500"	"inc160000"	"inc162500"	"inc165000"	"inc167500"	"inc170000"	"inc172500"	"inc175000"	"inc177500"	"inc180000"	"inc182500"	"inc185000"	"inc187500"	"inc190000"	"inc192500"	"inc195000"	"inc197500"	"inc200000"	"inc202500"	"inc205000"	"inc207500"	"inc210000"	"inc212500"	"inc215000"	"inc217500"	"inc220000"	"inc222500"	"inc225000"	"inc227500"	"inc230000"	"inc232500"	"inc235000"	"inc237500"	"inc240000"	"inc242500"	"inc245000"	"inc247500"	"inc250000"	"inc252500"	"inc255000"	"inc257500"	"inc260000"	"inc262500"	"inc265000"	"inc267500"	"inc270000"	"inc272500"	"inc275000"	"inc277500"	"inc280000"	"inc282500"	"inc285000"	"inc287500"	"inc290000"	"inc292500"	"inc295000"	"inc297500"	"inc300000"	"inc302500"	"inc305000"	"inc307500"	"inc310000"	"inc312500"	"inc315000"	"inc317500"	"inc320000"	"inc322500"	"inc325000"	"inc327500"	"inc330000"	"inc332500"	"inc335000"	"inc337500"	"inc340000"	"inc342500"	"inc345000"	"inc347500"	"inc350000"	"inc352500"	"inc355000"	"inc357500"	"inc360000"	"inc362500"	"inc365000"	"inc367500"	"inc370000"	"inc372500"	"inc375000"	"inc377500"	"inc380000"	"inc382500"	"inc385000"	"inc387500"	"inc390000"	"inc392500"	"inc395000"	"inc397500"	"inc400000"	"inc402500"	"inc405000"	"inc407500"	"inc410000"	"inc412500"	"inc415000"	"inc417500"	"inc420000"	"inc422500"	"inc425000"	"inc427500"	"inc430000"	"inc432500"	"inc435000"	"inc437500"	"inc440000"	"inc442500"	"inc445000"	"inc447500"	"inc450000"	"inc452500"	"inc455000"	"inc457500"	"inc460000"	"inc462500"	"inc465000"	"inc467500"	"inc470000"	"inc472500"	"inc475000"	"inc477500"	"inc480000"	"inc482500"	"inc485000"	"inc487500"	"inc490000"	"inc492500"	"inc495000"	"inc497500"	"inc500000"	"state"	"grp"
0	0	30	129	241	354	466	574	680	791	904	1016	1130	1236	1342	1449	1555	1661	1762	1856	1950	2043	2137	2231	2325	2418	2512	2606	2700	2793	2887	2981	3075	3168	3262	3356	3450	3543	3637	3731	3821	3911	4001	4091	4181	4271	4361	4451	4541	4631	4721	4811	4901	4991	5081	5171	5261	5351	5441	5531	5621	5711	5801	5891	5981	6071	6161	6251	6341	6431	6521	6611	6701	6791	6881	6971	7061	7151	7241	7328	7412	7496	7580	7663	7747	7831	7915	7998	8082	8166	8250	8333	8417	8501	8585	8668	8752	8836	8920	9003	9087	9171	9255	9338	9422	9506	9590	9673	9757	9841	9925	10008	10092	10176	10260	10343	10427	10511	10595	10678	10762	10846	10930	11013	11097	11181	11265	11348	11432	11516	11600	11683	11767	11851	11935	12018	12102	12186	12270	12353	12437	12521	12605	12688	12772	12856	12940	13023	13107	13191	13275	13358	13442	13526	13610	13693	13777	13861	13945	14028	14112	14196	14280	14363	14447	14531	14615	14698	14782	14833	14914	14996	15077	15158	15239	15321	15402	15483	15564	15646	15727	15808	15889	15971	16052	16133	16214	16296	16377	16458	16539	16621	16702	16783	16864	16946	17027	17108	17189	17271	17352	"AL"	"sgl0"
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"AK"	"sgl0"
0	0	0	8	72	137	202	267	339	411	483	555	627	701	785	869	953	1037	1121	1205	1289	1373	1457	1544	1650	1756	1862	1968	2074	2180	2286	2392	2498	2604	2710	2816	2922	3028	3134	3240	3346	3452	3558	3664	3770	3876	3982	4088	4194	4300	4406	4512	4618	4724	4830	4936	5042	5148	5254	5360	5466	5572	5678	5785	5898	6012	6125	6239	6352	6466	6579	6693	6806	6920	7033	7147	7260	7374	7487	7601	7714	7828	7941	8055	8168	8282	8395	8509	8622	8736	8849	8963	9076	9190	9303	9417	9530	9644	9757	9871	9984	10098	10211	10325	10438	10552	10665	10779	10892	11006	11119	11233	11346	11460	11573	11687	11800	11914	12027	12141	12254	12368	12481	12595	12708	12822	12935	13049	13162	13276	13389	13503	13616	13730	13843	13957	14070	14184	14297	14411	14524	14638	14751	14865	14978	15092	15205	15319	15432	15546	15659	15773	15886	16000	16113	16227	16340	16454	16567	16681	16794	16908	17021	17135	17248	17362	17475	17589	17702	17816	17929	18043	18156	18270	18383	18497	18610	18724	18837	18951	19064	19178	19291	19405	19518	19632	19745	19859	19972	20086	20199	20313	20426	20540	20653	20767	20880	20994	21107	21221	21334	"AZ"	"sgl0"
0	0	0	36	96	175	262	372	482	592	748	898	1048	1198	1348	1498	1648	1798	1948	2098	2248	2398	2548	2698	2848	2998	3148	3298	3448	3598	3748	4260	4432	4605	4777	4950	5122	5295	5467	5640	5812	5985	6157	6330	6502	6675	6847	7020	7192	7365	7537	7710	7882	8055	8227	8400	8572	8745	8917	9090	9262	9435	9607	9780	9952	10125	10297	10470	10642	10815	10987	11160	11332	11505	11677	11850	12022	12195	12367	12540	12712	12885	13057	13230	13402	13575	13747	13920	14092	14265	14437	14610	14782	14955	15127	15300	15472	15645	15817	15990	16162	16335	16507	16680	16852	17025	17197	17370	17542	17715	17887	18060	18232	18405	18577	18750	18922	19095	19267	19440	19612	19785	19957	20130	20302	20475	20647	20820	20992	21165	21337	21510	21682	21855	22027	22200	22372	22545	22717	22890	23062	23235	23407	23580	23752	23925	24097	24270	24442	24615	24787	24960	25132	25305	25477	25650	25822	25995	26167	26340	26512	26685	26857	27030	27202	27375	27547	27720	27892	28065	28237	28410	28582	28755	28927	29100	29272	29445	29617	29790	29962	30135	30307	30480	30652	30825	30997	31170	31342	31515	31687	31860	32032	32205	32377	32550	32722	32895	33067	33240	33412	"AR"	"sgl0"
0	0	0	0	0	0	31	81	131	181	278	378	478	578	710	860	1010	1160	1313	1513	1713	1913	2113	2338	2571	2803	3036	3268	3501	3733	3966	4198	4431	4663	4896	5128	5361	5593	5826	6058	6291	6523	6756	6988	7221	7453	7686	7918	8151	8383	8616	8848	9081	9313	9546	9778	10011	10243	10476	10708	10941	11173	11406	11638	11871	12103	12336	12568	12801	13033	13266	13498	13731	13963	14196	14434	14673	14911	15150	15388	15627	15865	16104	16342	16581	16819	17058	17296	17535	17773	18012	18250	18489	18722	18955	19187	19420	19652	19885	20117	20350	20582	20815	21047	21280	21512	21745	21980	22237	22495	22752	23010	23267	23525	23782	24040	24297	24555	24812	25070	25327	25585	25842	26100	26357	26615	26872	27130	27388	27671	27953	28236	28518	28801	29083	29366	29648	29931	30213	30496	30778	31061	31343	31626	31908	32191	32473	32756	33038	33321	33603	33886	34168	34451	34733	35016	35298	35581	35863	36146	36428	36711	36993	37276	37558	37841	38123	38406	38688	38971	39253	39536	39818	40101	40383	40666	40948	41231	41513	41796	42078	42361	42643	42926	43208	43491	43773	44056	44338	44621	44903	45186	45468	45751	46033	46316	46598	46881	47163	47446	47728	"CA"	"sgl0"
0	0	0	55	171	287	402	518	634	750	865	981	1097	1213	1328	1444	1560	1676	1791	1907	2023	2139	2254	2370	2486	2602	2717	2833	2949	3065	3180	3296	3412	3528	3643	3759	3875	3991	4106	4222	4338	4454	4569	4685	4801	4917	5032	5148	5264	5380	5495	5611	5727	5843	5958	6074	6190	6306	6421	6537	6653	6769	6884	7000	7116	7232	7347	7463	7579	7695	7810	7926	8042	8158	8273	8389	8505	8621	8736	8852	8968	9084	9199	9315	9431	9547	9662	9778	9894	10010	10125	10241	10357	10473	10588	10704	10820	10936	11051	11167	11283	11399	11514	11630	11746	11862	11977	12093	12209	12325	12440	12556	12672	12788	12903	13019	13135	13251	13366	13482	13598	13714	13829	13945	14061	14177	14292	14408	14524	14640	14755	14871	14987	15103	15218	15334	15450	15566	15681	15797	15913	16029	16144	16260	16376	16492	16607	16723	16839	16955	17070	17186	17302	17418	17533	17649	17765	17881	17996	18112	18228	18344	18459	18575	18691	18807	18922	19038	19154	19270	19385	19501	19617	19733	19848	19964	20080	20196	20311	20427	20543	20659	20774	20890	21006	21122	21237	21353	21469	21585	21700	21816	21932	22048	22163	22279	22395	22511	22626	22742	22858	"CO"	"sgl0"
0	0	0	0	0	0	0	75	150	225	300	425	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	487	3125	3262	3400	3537	3675	3812	3950	4087	4225	4362	4500	4637	4775	4912	5050	5200	5350	5500	5650	5800	5950	6100	6250	6400	6550	6700	6850	7000	7150	7300	7450	7600	7750	7900	8050	8200	8350	8500	8650	8800	8950	9100	9250	9400	9550	9700	9850	10000	10150	10300	10450	10600	10750	10900	11050	11212	11375	11537	11700	11862	12025	12187	12350	12512	12675	12837	13000	13162	13325	13487	13650	13812	13975	14137	14300	14472	14645	14817	14990	15162	15335	15507	15680	15852	16025	16197	16370	16542	16715	16887	17060	17232	17405	17577	17750	17922	18095	18267	18440	18612	18785	18957	19130	19302	19475	19647	19820	19992	20165	20337	20510	20682	20855	21027	21200	21372	21545	21717	21890	22062	22235	22407	22580	22752	22925	23097	23270	23442	23615	23787	23960	24132	24305	24477	24650	24822	24995	25167	25340	25512	25685	25857	26030	26202	26375	26547	26720	26892	27065	27237	27410	27582	27755	27927	28100	28272	28445	28617	28790	28962	29135	29307	29480	29652	29825	29997	30170	30342	30515	"CT"	"sgl0"
0	0	0	0	19	117	229	349	469	589	716	846	982	1120	1259	1398	1537	1675	1814	1953	2092	2230	2369	2508	2647	2785	2941	3106	3271	3436	3601	3766	3931	4096	4261	4426	4591	4756	4921	5086	5251	5416	5581	5746	5911	6076	6241	6406	6571	6736	6901	7066	7231	7396	7561	7726	7891	8056	8221	8386	8551	8716	8881	9046	9211	9376	9541	9706	9871	10036	10201	10366	10531	10696	10861	11026	11191	11356	11521	11686	11851	12016	12181	12346	12511	12676	12841	13006	13171	13336	13501	13666	13831	13996	14161	14326	14491	14656	14821	14986	15151	15316	15481	15646	15811	15976	16141	16306	16471	16636	16801	16966	17131	17296	17461	17626	17791	17956	18121	18286	18451	18616	18781	18946	19111	19276	19441	19606	19771	19936	20101	20266	20431	20596	20761	20926	21091	21256	21421	21586	21751	21916	22081	22246	22411	22576	22741	22906	23071	23236	23401	23566	23731	23896	24061	24226	24391	24556	24721	24886	25051	25216	25381	25546	25711	25876	26041	26206	26371	26536	26701	26866	27031	27196	27361	27526	27691	27856	28021	28186	28351	28516	28681	28846	29011	29176	29341	29506	29671	29836	30001	30166	30331	30496	30661	30826	30991	31156	31321	31486	31651	"DE"	"sgl0"
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"FL"	"sgl0"
0	0	0	45	132	260	410	560	710	860	1010	1160	1310	1460	1610	1760	1910	2060	2210	2360	2510	2660	2810	2960	3110	3260	3410	3560	3710	3860	4010	4160	4310	4460	4610	4760	4910	5060	5210	5360	5510	5660	5810	5960	6110	6260	6410	6560	6710	6860	7010	7160	7310	7460	7610	7760	7910	8060	8210	8360	8510	8660	8810	8960	9110	9260	9410	9560	9710	9860	10010	10160	10310	10460	10610	10760	10910	11060	11210	11360	11510	11660	11810	11960	12110	12260	12410	12560	12710	12860	13010	13160	13310	13460	13610	13760	13910	14060	14210	14360	14510	14660	14810	14960	15110	15260	15410	15560	15710	15860	16010	16160	16310	16460	16610	16760	16910	17060	17210	17360	17510	17660	17810	17960	18110	18260	18410	18560	18710	18860	19010	19160	19310	19460	19610	19760	19910	20060	20210	20360	20510	20660	20810	20960	21110	21260	21410	21560	21710	21860	22010	22160	22310	22460	22610	22760	22910	23060	23210	23360	23510	23660	23810	23960	24110	24260	24410	24560	24710	24860	25010	25160	25310	25460	25610	25760	25910	26060	26210	26360	26510	26660	26810	26960	27110	27260	27410	27560	27710	27860	28010	28160	28310	28460	28610	28760	28910	29060	29210	29360	29510	"GA"	"sgl0"
